Timestamp,Email Address,Who attended to you needs?,Has your need been met?,"You chose NO, Please share your feedback. (1)",Were you satisfied with the Rep's presentation?,"You chose NO, Please share your feedback. (2)",Did the information and product knowledge match your expectations?,"You chose NO, Please share your feedback. (3)",How would you rate our services on a scale of 1 to 5 stars?
5/8/2025 9:15:10,[test1@gmail.com](mailto:test1@gmail.com),Jarviss,Yes,,Yes,,Others,,4
5/8/2025 10:30:20,[test2@gmail.com](mailto:test2@gmail.com),Jarviss,Yes,,Others,N/A to my case.,Yes,,4
5/8/2025 11:45:30,[test3@gmail.com](mailto:test3@gmail.com),Jarviss,Yes,,Yes,,Yes,,5
5/8/2025 12:00:40,[test4@gmail.com](mailto:test4@gmail.com),Jarviss,Yes,,Yes,,Yes,,5
5/8/2025 13:15:50,[test5@gmail.com](mailto:test5@gmail.com),Jarviss,Yes,,Yes,,Yes,,4
5/7/2025 13:10:05,[test6@gmail.com](mailto:test6@gmail.com),Jarviss,Yes,,Yes,,Yes,,5
5/7/2025 14:25:15,[test7@gmail.com](mailto:test7@gmail.com),Jarviss,Yes,,Yes,,Yes,,5
5/7/2025 15:40:25,[test8@gmail.com](mailto:test8@gmail.com),Jarviss,Yes,,Yes,,Yes,,5
5/7/2025 16:55:35,[test9@gmail.com](mailto:test9@gmail.com),Jarviss,Yes,,Yes,,Yes,,4
5/7/2025 17:05:45,[test10@gmail.com](mailto:test10@gmail.com),Jarviss,Yes,,Yes,,Yes,,5
5/8/2025 9:17:10,[test11@gmail.com](mailto:test11@gmail.com),Claude,No,Issue still unresolved despite follow-up.,Yes,,Yes,,1
5/8/2025 10:32:20,[test12@gmail.com](mailto:test12@gmail.com),Claude,No,Resolution promised but not delivered.,Yes,,Yes,,1
5/8/2025 11:47:30,[test13@gmail.com](mailto:test13@gmail.com),Claude,No,Still waiting for technical team to contact me.,Yes,,Yes,,2
5/8/2025 12:02:40,[test14@gmail.com](mailto:test14@gmail.com),Claude,No,Replacement part unavailable.,Yes,,Yes,,1
5/8/2025 13:17:50,[test15@gmail.com](mailto:test15@gmail.com),Claude,No,Need escalated but no update received.,Yes,,Yes,,2
5/7/2025 13:12:05,[test16@gmail.com](mailto:test16@gmail.com),Claude,No,Issue still unresolved despite follow-up.,Yes,,Yes,,2
5/7/2025 14:27:15,[test17@gmail.com](mailto:test17@gmail.com),Claude,No,Resolution promised but not delivered.,Yes,,Yes,,1
5/7/2025 15:42:25,[test18@gmail.com](mailto:test18@gmail.com),Claude,No,Still waiting for technical team to contact me.,Yes,,Yes,,2
5/7/2025 16:57:35,[test19@gmail.com](mailto:test19@gmail.com),Claude,No,Replacement part unavailable.,Yes,,Yes,,1
5/7/2025 17:07:45,[test20@gmail.com](mailto:test20@gmail.com),Claude,No,Need escalated but no update received.,Yes,,Yes,,1
5/8/2025 9:15:10,[test21@gmail.com](mailto:test21@gmail.com),Samuel-Scott,Yes,,No,Explanation unclear and rushed.,Yes,,2
5/8/2025 10:30:20,[test22@gmail.com](mailto:test22@gmail.com),Samuel-Scott,Yes,,No,Slides unreadable on small screen.,Yes,,2
5/8/2025 11:45:30,[test23@gmail.com](mailto:test23@gmail.com),Samuel-Scott,Yes,,No,Poor audio quality during call.,Yes,,3
5/8/2025 12:00:40,[test24@gmail.com](mailto:test24@gmail.com),Samuel-Scott,Yes,,No,Rep spoke too quickly.,Yes,,2
5/8/2025 13:15:50,[test25@gmail.com](mailto:test25@gmail.com),Samuel-Scott,Yes,,No,"Too much jargon, no visuals.",Yes,,3
5/7/2025 13:10:05,[test26@gmail.com](mailto:test26@gmail.com),Samuel-Scott,Yes,,No,Explanation unclear and rushed.,Yes,,2
5/7/2025 14:25:15,[test27@gmail.com](mailto:test27@gmail.com),Samuel-Scott,Yes,,No,Slides unreadable on small screen.,Yes,,3
5/7/2025 15:40:25,[test28@gmail.com](mailto:test28@gmail.com),Samuel-Scott,Yes,,No,Poor audio quality during call.,Yes,,2
5/7/2025 16:55:35,[test29@gmail.com](mailto:test29@gmail.com),Samuel-Scott,Yes,,No,Rep spoke too quickly.,Yes,,2
5/7/2025 17:05:45,[test30@gmail.com](mailto:test30@gmail.com),Samuel-Scott,Yes,,No,"Too much jargon, no visuals.",Yes,,3
5/8/2025 9:15:10,[test31@gmail.com](mailto:test31@gmail.com),Christian,Yes,,Yes,,No,Delivery date too late for project.,1
5/8/2025 10:30:20,[test32@gmail.com](mailto:test32@gmail.com),Christian,Yes,,Yes,,No,Specs did not match brochure.,2
5/8/2025 11:45:30,[test33@gmail.com](mailto:test33@gmail.com),Christian,Yes,,Yes,,No,Colour variant out of stock.,1
5/8/2025 12:00:40,[test34@gmail.com](mailto:test34@gmail.com),Christian,Yes,,Yes,,No,Pricing changed after quote.,2
5/8/2025 13:15:50,[test35@gmail.com](mailto:test35@gmail.com),Christian,Yes,,Yes,,No,Warranty terms vague.,1
5/7/2025 13:10:05,[test36@gmail.com](mailto:test36@gmail.com),Christian,Yes,,Yes,,No,Delivery date too late for project.,2
5/7/2025 14:25:15,[test37@gmail.com](mailto:test37@gmail.com),Christian,Yes,,Yes,,No,Specs did not match brochure.,2
5/7/2025 15:40:25,[test38@gmail.com](mailto:test38@gmail.com),Christian,Yes,,Yes,,No,Colour variant out of stock.,1
5/7/2025 16:55:35,[test39@gmail.com](mailto:test39@gmail.com),Christian,Yes,,Yes,,No,Pricing changed after quote.,2
5/7/2025 17:05:45,[test40@gmail.com](mailto:test40@gmail.com),Christian,Yes,,Yes,,No,Warranty terms vague.,1
5/8/2025 9:15:10,[test41@gmail.com](mailto:test41@gmail.com),Lea,No,Issue still unresolved despite follow-up.,No,Explanation unclear and rushed.,No,Delivery date too late for project.,1
5/8/2025 10:30:20,[test42@gmail.com](mailto:test42@gmail.com),Lea,No,Resolution promised but not delivered.,No,Slides unreadable on small screen.,No,Specs did not match brochure.,1
5/8/2025 11:45:30,[test43@gmail.com](mailto:test43@gmail.com),Lea,No,Still waiting for technical team to contact me.,No,Poor audio quality during call.,No,Colour variant out of stock.,1
5/8/2025 12:00:40,[test44@gmail.com](mailto:test44@gmail.com),Lea,No,Replacement part unavailable.,No,Rep spoke too quickly.,No,Pricing changed after quote.,1
5/8/2025 13:15:50,[test45@gmail.com](mailto:test45@gmail.com),Lea,No,Need escalated but no update received.,No,"Too much jargon, no visuals.",No,Warranty terms vague.,1
5/7/2025 13:10:05,[test46@gmail.com](mailto:test46@gmail.com),Lea,No,Issue still unresolved despite follow-up.,No,Explanation unclear and rushed.,No,Delivery date too late for project.,1
5/7/2025 14:25:15,[test47@gmail.com](mailto:test47@gmail.com),Lea,No,Resolution promised but not delivered.,No,Slides unreadable on small screen.,No,Specs did not match brochure.,1
5/7/2025 15:40:25,[test48@gmail.com](mailto:test48@gmail.com),Lea,No,Still waiting for technical team to contact me.,No,Poor audio quality during call.,No,Colour variant out of stock.,1
5/7/2025 16:55:35,[test49@gmail.com](mailto:test49@gmail.com),Lea,No,Replacement part unavailable.,No,Rep spoke too quickly.,No,Pricing changed after quote.,1
5/7/2025 17:05:45,[test50@gmail.com](mailto:test50@gmail.com),Lea,No,Need escalated but no update received.,No,"Too much jargon, no visuals.",No,Warranty terms vague.,1
5/8/2025 9:15:10,[test51@gmail.com](mailto:test51@gmail.com),Paula,Others,Still evaluating outcome.,Others,Partially met; awaiting manager approval.,Others,Need more time to test product.,3
5/8/2025 10:30:20,[test52@gmail.com](mailto:test52@gmail.com),Paula,Others,Partially met; awaiting manager approval.,Others,Still evaluating outcome.,Others,Awaiting confirmation from finance.,3
